Algorithm,train Score,RMSE_tr,MSE_tr,MAE_tr,Mape_tr,Adjusted_r2_tr,Val Score,RMSE_vl,MSE_vl,MAE_vl,Mape_val,Adjusted_r2_val,test Score,RMSE_te,MSE_te,MAE_te,Mape_te,Adjusted_r2_te
Simple Linear Reg Model,0.9999995594006124,1896.7408977500072,3597626.033197503,1475.9556543154429,0.0010247768317568102,1.000000566484927,0.9999995619186797,1923.8995221231864,3701389.371225825,1506.2687716012367,0.0009485480435932335,1.0000005632474118,0.9999995917990624,1873.3209394162973,3509331.3420555587,1464.147307499215,0.0009811080220199593,1.000000524829777
SLinear-Reg (Lasso),0.9999995593985989,1896.7452318579064,3597642.474575703,1475.90628385526,0.001025024511269729,1.0000005664875158,0.999999561901133,1923.9380509515395,3701537.623899209,1506.3594790203808,0.0009489565783094469,1.0000005632699718,0.9999995918379048,1873.2318093186982,3508997.4114434035,1463.9431856235242,0.000980644578219529,1.0000005247798367
SLinear-Reg (Ridge),0.9999995542906056,1907.7082508660947,3639350.7704225746,1487.1927539482558,0.001071741778404965,1.0000005730549357,0.9999995555716594,1937.7863476785847,3755015.929249509,1517.286472092178,0.0009892421247923073,1.0000005714078664,0.9999995857987315,1887.0391085499987,3560916.5971971736,1479.2727317084182,0.0010216943976730807,1.000000532544488
KNN,0.9999999999999994,0.07034399404887015,0.00494827749874748,0.02877106182080076,3.918754489008587e-08,1.0000000000000007,0.7856241762417748,1345838.420360627,1811281053718.7876,1087183.39857148,1.0692812084375196,1.2756260591177182,0.7769788603191666,1384676.1249359713,1917327970967.698,1139000.167307415,1.221381643293437,1.2867414653039286
SVR with kernel rbf,0.0006098452538075838,2856627.399333558,8160320098623.207,2463882.6697665546,2.8672819863462387,2.2849301989593904,-0.0029275293853416873,2910983.8452621703,8473826947377.331,2531673.138223351,2.659102358719833,2.2894782520668677,0.00026703207339096036,2931684.261744079,8594772610557.926,2539629.392766777,3.2601575996044896,2.2853709587627833
Simple DT,1.0,0.0,0.0,0.0,0.0,1.0,0.9999958873292024,5894.771739567192,34748333.86160002,4639.950533333336,0.002956724610004297,1.0000052877195968,0.9999962824623467,5653.310987910255,31959925.126026824,4493.463466666684,0.003212114526317032,1.0000047796912686
DT with some modified parameter,0.999998634862628,3338.6757449897605,11146755.73018293,2677.076543060042,0.0,1.0,0.9999965195210136,5422.811733592623,29406887.097989827,4265.18471780767,0.002956724610004297,1.0000052877195968,0.9999967103208144,5318.044439059513,28281596.65581181,4240.44998740307,0.003212114526317032,1.0000047796912686
Gradient Boosting,0.9999604668046342,17966.64651486465,322800386.99009806,13613.404885953125,0.005878774545992346,1.0000508283940417,0.9999532196886608,19880.924361473764,395251153.46664095,15265.75629289569,0.0066941243675459035,1.000060146114579,0.9999565722870636,19322.293196729617,373351014.3803836,14575.760299802554,0.007226617205201497,1.0000558356309182
Bagging Regressor,0.999999710146546,1538.4213700504056,2366740.311827767,1211.672285428605,0.0008762160892190835,1.0000003726687265,0.9999980190394432,4091.1267345463134,16737317.958119582,3253.124188000042,0.0021537012664520484,1.0000025469492873,0.999998125547782,4014.3235731176683,16114793.749688204,3197.1267186666532,0.0028035051360674277,1.0000024100099947
Random Forest,0.9999997318282565,1479.7643893549553,2189702.6480030436,1177.239992926293,0.0008679651273356088,1.0000003447922416,0.9999980001113603,4110.625630128935,16897243.071072903,3261.5370310667768,0.0022494599754084932,1.000002571285394,0.9999981323335053,4007.0508386137462,16056456.423235128,3167.687570033263,0.002642788432428332,1.0000024012854931
ADA Boost,0.9999999959631202,181.5553189723252,32962.33384714275,29.630442857146978,2.2085775032175576e-05,1.000000005190274,0.9999977354210592,4374.201158139235,19133635.771866627,3458.9737333333246,0.002365227947876072,1.0000029116014952,0.9999978397774235,4309.475726892238,18571581.04067338,3406.2167333333305,0.002739556859368056,1.000002777429027
XGBoost,0.9999908236740278,8656.064429796616,74927451.4127902,6777.067863448662,0.003520254810597855,1.000011798133393,0.9999710539906691,15638.653885726178,244567495.35753852,12561.503892447923,0.006983629615844452,1.0000372162977111,0.9999697663809891,16122.049736288021,259920487.69934464,13108.08665625001,0.008804128700273854,1.000038871795871
